#{"t_start": 1776087011.1915166, "env_id": "highway-v0"}
r,l,t
10.635804,15,6.464137
4.79017,6,8.543224
18.202335,26,17.552862
13.475713,17,23.517908
5.540027,9,26.686949
2.594235,4,28.087038
13.003349,16,33.668675
6.59342,8,36.51012
5.649646,7,38.929398
21.059729,26,47.873113
4.367158,6,49.939926
5.204347,7,52.38995
12.193092,18,58.557887
23.198596,30,68.840242
18.446975,27,78.159496
13.41915,18,84.356963
3.195362,4,85.770131
5.089915,8,88.532219
22.602198,30,98.911077
2.401191,4,100.349261
22.083484,30,110.787979
10.02628,15,115.942874
11.750762,17,121.790001
9.543378,14,126.62558
7.571668,11,130.467263
6.053663,9,133.534789
7.788845,9,136.653142
3.196006,5,138.410047
5.535025,8,141.130625
15.809246,20,148.016162
14.820738,20,155.022621
1.598207,3,156.081007
12.011893,15,161.216007
6.557215,8,164.022819
22.701112,30,174.365894
3.255863,5,176.091549
11.3758,16,181.561021
9.121556,10,185.016472
3.199682,5,186.719146
21.136465,30,196.947645
9.616321,14,201.766459
18.234354,26,210.686195
3.758513,5,212.422862
11.000136,16,217.935475
0.925823,2,218.673321
2.757291,4,220.070734
3.850513,5,221.793651
23.198479,30,232.188354
1.958373,3,233.234402
5.685219,8,236.006786
10.955827,13,240.491247
1.278391,2,241.192744
16.401381,20,248.089413
14.983803,22,255.78188
2.846591,5,257.505419
6.974338,10,260.955375
7.792278,9,264.046249
23.824323,30,274.571841
4.192062,6,276.619024
19.545585,29,286.487948
6.307199,10,290.006478
10.534335,15,295.188904
8.766123,11,299.055187
3.562482,5,300.772202
5.007568,7,303.191113
6.75607,8,306.011736
3.959047,5,307.732245
4.754525,6,309.797578
10.71679,13,314.214695
1.278391,2,314.936035
3.998183,6,317.041455
4.176226,7,319.464004
11.048742,14,324.292549
6.68814,10,327.728107
6.785492,9,330.852062
16.02241,21,338.104174
25.340759,30,348.501782
21.319011,30,359.447407
6.955316,8,362.238539
18.453721,23,370.459466
10.651885,15,375.584409
10.006865,13,380.129014
6.961768,10,383.618258
8.808271,12,387.782411
23.385422,30,398.374366
4.986699,7,400.815523
5.957172,7,403.287375
7.907258,12,407.424816
10.757704,12,411.633841
7.474171,9,414.758582
10.817924,15,420.021596
1.960209,3,421.049649
9.612044,12,425.141416
9.909927,11,428.958648
6.006547,9,432.127645
2.759509,4,433.563809
5.777403,8,436.369044
1.764923,3,437.416588
3.275388,4,438.812464
6.994269,9,441.902153
12.687696,16,447.478219
24.494662,30,457.979804
1.925144,3,459.045339
21.297932,30,469.444949
5.597138,8,472.195706
18.560165,26,481.150448
2.759115,4,482.572888
2.518301,4,483.966002
24.811456,30,494.467321
14.865179,20,501.32725
20.328068,28,511.091169
9.103274,13,515.602363
2.477147,4,517.011928
22.611271,28,526.666461
6.441027,9,529.776564
20.930526,26,538.782436
14.41503,20,545.621014
9.171698,11,549.439153
4.957177,6,551.59998
14.662516,20,558.456771
10.878584,14,563.355072
6.360221,8,566.100352
2.398983,4,567.494191
15.688197,20,574.449797
22.743719,30,584.751316
7.722138,11,588.543475
3.647727,6,590.598165
12.5712,17,596.497265
4.20865,6,598.570858
10.39814,12,602.701686
2.959217,4,604.105509
5.75675,7,606.550891
1.999692,3,607.572757
6.849088,9,610.746488
9.411851,12,614.91172
3.734804,6,616.976281
24.971813,30,627.202007
23.471951,30,637.640257
7.321151,11,641.388749
8.005214,12,645.538668
9.936964,14,650.320736
16.129869,21,657.556634
13.522148,17,663.542441
11.257328,16,669.032682
5.812618,8,671.874482
5.388333,7,674.29145
1.480736,3,675.327981
4.210346,6,677.414404
0.918219,2,678.133084
5.95505,7,680.572225
25.458554,30,690.933049
26.14262,30,701.227609
14.535729,20,708.039209
1.960209,3,709.082426
3.957206,5,710.865554
1.960209,3,711.921137
4.557426,6,713.994121
15.002106,17,719.844912
19.092294,22,727.624536
5.955325,7,729.990927
1.196243,2,730.694206
21.205023,30,741.057543
2.397471,4,742.458163
1.784043,3,743.537715
7.649529,10,747.077285
11.987452,14,751.910231
1.600054,3,752.954855
1.960209,3,754.016793
4.792284,6,756.080639
2.568289,4,757.487362
5.757924,7,759.909194
5.062721,8,762.685554
5.005534,7,765.150568
21.645835,30,775.616006
22.793162,30,786.015675
14.25233,18,792.308166
4.959018,6,794.414701
4.852886,7,796.842935
3.543498,6,798.916411
6.796931,9,802.024842
9.820508,14,806.8943
17.917316,22,814.475339
15.805857,22,822.105958
15.454803,21,829.357799
1.960209,3,830.409803
6.479544,8,833.183912
8.843853,12,837.332539
1.958373,3,838.371862
5.957164,7,840.808635
5.750365,9,843.946418
13.986386,19,850.467386
1.480736,3,851.489085
18.685325,22,859.061785
13.001443,18,865.333889
4.293372,7,867.764752
3.401021,5,869.520956
12.970487,17,875.431828
8.195799,9,878.52057
1.00409,2,879.223175
8.560214,10,882.696797
15.597509,18,888.859936
3.605867,6,891.009155
12.801735,15,896.149093
2.566059,4,897.537628
16.601928,20,904.423742
8.244194,11,908.323463
5.983661,7,910.756634
6.755045,8,913.570868
24.436036,30,924.020311
6.20111,8,926.818997
8.255342,12,931.003084
2.761346,4,932.399467
1.985884,3,933.458163
7.35539,9,936.53986
19.628306,26,945.534733
8.451597,10,948.987886
9.095563,12,953.161843
17.967152,26,962.049899
3.957201,5,963.78757
26.650772,30,974.177031
7.174653,9,977.318021
8.160462,10,980.836204
9.156046,11,984.664424
1.958373,3,985.696734
1.001855,2,986.423185
5.656981,9,989.519394
6.589472,8,992.23973
4.649973,6,994.313079
2.248884,4,995.751519
8.719753,10,999.241314
2.60128,4,1000.648231
8.728551,12,1004.797184
6.599227,8,1007.601596
14.735594,20,1014.590167
12.000527,15,1019.760512
7.996317,10,1023.272719
15.978098,23,1031.15877
10.728319,14,1036.005871
24.222494,30,1046.402492
24.312392,30,1056.797324
22.519251,30,1067.082333
5.094632,8,1069.855634
7.704341,11,1073.636249
2.401191,4,1075.032043
3.199682,5,1076.805246
2.794337,4,1078.214298
24.1415,30,1088.579814
15.288863,20,1095.466079
21.260924,30,1105.757236
7.165366,10,1109.258855
9.790431,11,1113.040552
5.756717,7,1115.433698
2.957371,4,1116.829713
7.080272,9,1120.009667
6.957171,8,1122.787376
7.656619,9,1125.883453
7.84998,10,1129.373213
6.168974,9,1132.491455
4.654197,6,1134.583888
7.36716,9,1137.683237
5.460987,8,1140.459314
13.335073,18,1146.725727
13.702392,19,1153.344805
6.853629,8,1156.143711
1.881614,3,1157.20183
8.327367,12,1161.337759
16.427751,22,1168.945313
1.960209,3,1170.019598
9.656762,13,1174.578429
4.762002,6,1176.674928
5.450369,8,1179.420566
