episode,reward,crashed,length
1,10.635804,1,15
2,4.79017,1,6
3,18.202335,1,26
4,13.475713,1,17
5,5.540027,1,9
6,2.594235,1,4
7,13.003349,1,16
8,6.59342,1,8
9,5.649646,1,7
10,21.059729,1,26
11,4.367158,1,6
12,5.204347,1,7
13,12.193092,1,18
14,23.198596,0,30
15,18.446975,1,27
16,13.41915,1,18
17,3.195362,1,4
18,5.089915,1,8
19,22.602198,0,30
20,2.401191,1,4
21,22.083484,0,30
22,10.02628,1,15
23,11.750762,1,17
24,9.543378,1,14
25,7.571668,1,11
26,6.053663,1,9
27,7.788845,1,9
28,3.196006,1,5
29,5.535025,1,8
30,15.809246,1,20
31,14.820738,1,20
32,1.598207,1,3
33,12.011893,1,15
34,6.557215,1,8
35,22.701112,0,30
36,3.255863,1,5
37,11.3758,1,16
38,9.121556,1,10
39,3.199682,1,5
40,21.136465,0,30
41,9.616321,1,14
42,18.234354,1,26
43,3.758513,1,5
44,11.000136,1,16
45,0.925823,1,2
46,2.757291,1,4
47,3.850513,1,5
48,23.198479,0,30
49,1.958373,1,3
50,5.685219,1,8
51,10.955827,1,13
52,1.278391,1,2
53,16.401381,1,20
54,14.983803,1,22
55,2.846591,1,5
56,6.974338,1,10
57,7.792278,1,9
58,23.824323,0,30
59,4.192062,1,6
60,19.545585,1,29
61,6.307199,1,10
62,10.534335,1,15
63,8.766123,1,11
64,3.562482,1,5
65,5.007568,1,7
66,6.75607,1,8
67,3.959047,1,5
68,4.754525,1,6
69,10.71679,1,13
70,1.278391,1,2
71,3.998183,1,6
72,4.176226,1,7
73,11.048742,1,14
74,6.68814,1,10
75,6.785492,1,9
76,16.02241,1,21
77,25.340759,0,30
78,21.319011,0,30
79,6.955316,1,8
80,18.453721,1,23
81,10.651885,1,15
82,10.006865,1,13
83,6.961768,1,10
84,8.808271,1,12
85,23.385422,0,30
86,4.986699,1,7
87,5.957172,1,7
88,7.907258,1,12
89,10.757704,1,12
90,7.474171,1,9
91,10.817924,1,15
92,1.960209,1,3
93,9.612044,1,12
94,9.909927,1,11
95,6.006547,1,9
96,2.759509,1,4
97,5.777403,1,8
98,1.764923,1,3
99,3.275388,1,4
100,6.994269,1,9
101,12.687696,1,16
102,24.494662,0,30
103,1.925144,1,3
104,21.297932,0,30
105,5.597138,1,8
106,18.560165,1,26
107,2.759115,1,4
108,2.518301,1,4
109,24.811456,0,30
110,14.865179,1,20
111,20.328068,1,28
112,9.103274,1,13
113,2.477147,1,4
114,22.611271,1,28
115,6.441027,1,9
116,20.930526,1,26
117,14.41503,1,20
118,9.171698,1,11
119,4.957177,1,6
120,14.662516,1,20
121,10.878584,1,14
122,6.360221,1,8
123,2.398983,1,4
124,15.688197,1,20
125,22.743719,0,30
126,7.722138,1,11
127,3.647727,1,6
128,12.5712,1,17
129,4.20865,1,6
130,10.39814,1,12
131,2.959217,1,4
132,5.75675,1,7
133,1.999692,1,3
134,6.849088,1,9
135,9.411851,1,12
136,3.734804,1,6
137,24.971813,0,30
138,23.471951,0,30
139,7.321151,1,11
140,8.005214,1,12
141,9.936964,1,14
142,16.129869,1,21
143,13.522148,1,17
144,11.257328,1,16
